ligand_id,smiles,pdbqt_path
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL159.pdbqt
CHEMBL443684,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL443684.pdbqt
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL255863.pdbqt
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL288441.pdbqt
CHEMBL2363137,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL2363137.pdbqt
CHEMBL240954,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@H]1C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL240954.pdbqt
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1ccccc1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL135561.pdbqt
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL53463.pdbqt
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL553025.pdbqt
CHEMBL472004,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL472004.pdbqt
