ligand_id,smiles,pdbqt_path
CHEMBL300389,OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,data/demo\ligands_pdbqt_demo\CHEMBL300389.pdbqt
CHEMBL1230020,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,data/demo\ligands_pdbqt_demo\CHEMBL1230020.pdbqt
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,data/demo\ligands_pdbqt_demo\CHEMBL255863.pdbqt
CHEMBL393929,O=C1N=C(NCc2cccs2)S/C1=C\c1ccc2ncccc2c1,data/demo\ligands_pdbqt_demo\CHEMBL393929.pdbqt
CHEMBL472004,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,data/demo\ligands_pdbqt_demo\CHEMBL472004.pdbqt
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,data/demo\ligands_pdbqt_demo\CHEMBL603469.pdbqt
CHEMBL2134202,CCc1cncnc1N1CCN(Cc2nc3cc(C(F)(F)F)ccc3[nH]2)CC1,data/demo\ligands_pdbqt_demo\CHEMBL2134202.pdbqt
CHEMBL220241,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,data/demo\ligands_pdbqt_demo\CHEMBL220241.pdbqt
CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,data/demo\ligands_pdbqt_demo\CHEMBL209148.pdbqt
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,data/demo\ligands_pdbqt_demo\CHEMBL888.pdbqt
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,data/demo\ligands_pdbqt_demo\CHEMBL109480.pdbqt
CHEMBL591429,C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,data/demo\ligands_pdbqt_demo\CHEMBL591429.pdbqt
CHEMBL2363137,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,data/demo\ligands_pdbqt_demo\CHEMBL2363137.pdbqt
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,data/demo\ligands_pdbqt_demo\CHEMBL252164.pdbqt
CHEMBL4298697,C=C1C(=O)O[C@@H]2C3O[C@]3(C)CC/C=C(\C)CC[C@@H]12,data/demo\ligands_pdbqt_demo\CHEMBL4298697.pdbqt
CHEMBL512504,N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O,data/demo\ligands_pdbqt_demo\CHEMBL512504.pdbqt
CHEMBL2137530,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,data/demo\ligands_pdbqt_demo\CHEMBL2137530.pdbqt
CHEMBL513909,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,data/demo\ligands_pdbqt_demo\CHEMBL513909.pdbqt
CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,data/demo\ligands_pdbqt_demo\CHEMBL105.pdbqt
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,data/demo\ligands_pdbqt_demo\CHEMBL535.pdbqt
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,data/demo\ligands_pdbqt_demo\CHEMBL409.pdbqt
CHEMBL1190711,COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC,data/demo\ligands_pdbqt_demo\CHEMBL1190711.pdbqt
CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,data/demo\ligands_pdbqt_demo\CHEMBL209148.pdbqt
