ligand_id,smiles,pdbqt_path
CHEMBL217354,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,data/outputs\ligands_pdbqt\CHEMBL217354.pdbqt
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,data/outputs\ligands_pdbqt\CHEMBL888.pdbqt
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1,data/outputs\ligands_pdbqt\CHEMBL259181.pdbqt
CHEMBL9470,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,data/outputs\ligands_pdbqt\CHEMBL9470.pdbqt
CHEMBL1091644,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,data/outputs\ligands_pdbqt\CHEMBL1091644.pdbqt
CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,data/outputs\ligands_pdbqt\CHEMBL65.pdbqt
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,data/outputs\ligands_pdbqt\CHEMBL941.pdbqt
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,data/outputs\ligands_pdbqt\CHEMBL888.pdbqt
CHEMBL512504,N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O,data/outputs\ligands_pdbqt\CHEMBL512504.pdbqt
CHEMBL472004,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,data/outputs\ligands_pdbqt\CHEMBL472004.pdbqt
CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,data/outputs\ligands_pdbqt\CHEMBL601719.pdbqt
CHEMBL401930,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,data/outputs\ligands_pdbqt\CHEMBL401930.pdbqt
CHEMBL325041,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,data/outputs\ligands_pdbqt\CHEMBL325041.pdbqt
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,data/outputs\ligands_pdbqt\CHEMBL888.pdbqt
CHEMBL472004,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,data/outputs\ligands_pdbqt\CHEMBL472004.pdbqt
CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,data/outputs\ligands_pdbqt\CHEMBL1084546.pdbqt
CHEMBL221137,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,data/outputs\ligands_pdbqt\CHEMBL221137.pdbqt
CHEMBL2363137,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,data/outputs\ligands_pdbqt\CHEMBL2363137.pdbqt
CHEMBL1190711,COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC,data/outputs\ligands_pdbqt\CHEMBL1190711.pdbqt
CHEMBL449158,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3,data/outputs\ligands_pdbqt\CHEMBL449158.pdbqt
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,data/outputs\ligands_pdbqt\CHEMBL159.pdbqt
CHEMBL443684,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,data/outputs\ligands_pdbqt\CHEMBL443684.pdbqt
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,data/outputs\ligands_pdbqt\CHEMBL255863.pdbqt
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,data/outputs\ligands_pdbqt\CHEMBL288441.pdbqt
CHEMBL2363137,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,data/outputs\ligands_pdbqt\CHEMBL2363137.pdbqt
CHEMBL240954,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@H]1C,data/outputs\ligands_pdbqt\CHEMBL240954.pdbqt
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1ccccc1,data/outputs\ligands_pdbqt\CHEMBL135561.pdbqt
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,data/outputs\ligands_pdbqt\CHEMBL53463.pdbqt
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,data/outputs\ligands_pdbqt\CHEMBL553025.pdbqt
CHEMBL472004,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,data/outputs\ligands_pdbqt\CHEMBL472004.pdbqt
CHEMBL585951,Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1,data/outputs\ligands_pdbqt\CHEMBL585951.pdbqt
CHEMBL558642,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,data/outputs\ligands_pdbqt\CHEMBL558642.pdbqt
CHEMBL289228,Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,data/outputs\ligands_pdbqt\CHEMBL289228.pdbqt
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,data/outputs\ligands_pdbqt\CHEMBL939.pdbqt
CHEMBL176544,Cn1cc(/C=C2\C(=O)Nc3cccnc32)c2ccccc21,data/outputs\ligands_pdbqt\CHEMBL176544.pdbqt
CHEMBL1090090,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,data/outputs\ligands_pdbqt\CHEMBL1090090.pdbqt
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,data/outputs\ligands_pdbqt\CHEMBL888.pdbqt
